Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-10-03T18:06:00.000Z",6,163,97,159,0,0
"1990-10-04T11:29:00.000Z",54,115,239,6,0,0
"1990-10-04T12:52:00.000Z",10,163,98,156,0,0
"1990-10-04T13:41:00.000Z",165,9,106,150,0,0
"1990-10-04T14:29:00.000Z",165,9,130,124,0,0
"1990-10-04T15:16:00.000Z",162,13,147,107,0,0
"1990-10-04T16:04:00.000Z",141,34,116,138,0,0
"1990-10-04T17:06:00.000Z",17,156,172,83,0,0
"1990-10-04T17:53:00.000Z",167,7,118,139,0,0
"1990-10-04T18:30:00.000Z",61,113,165,91,0,0
"1990-10-04T22:09:00.000Z",125,51,214,43,0,0
"1990-10-04T23:59:00.000Z",71,105,108,149,0,0
"1990-10-05T11:07:00.000Z",19,150,199,36,0,0
"1990-10-05T12:02:00.000Z",153,17,51,199,0,0
"1990-10-05T13:32:00.000Z",167,4,98,153,0,0
"1990-10-05T14:08:00.000Z",49,121,213,39,0,0
"1990-10-05T15:26:00.000Z",88,83,245,3,0,0
"1990-10-05T15:55:00.000Z",170,1,198,54,0,0
"1990-10-05T16:48:00.000Z",168,0,242,2,0,0
"1990-10-05T17:39:00.000Z",168,0,244,0,0,0
"1990-10-05T18:41:00.000Z",0,0,0,0,0,0
"1990-10-05T19:25:00.000Z",66,101,234,12,0,0
"1990-10-06T15:28:00.000Z",48,96,216,5,0,0
"1990-10-06T17:03:00.000Z",25,129,235,9,0,0
"1990-10-06T17:39:00.000Z",49,104,236,1,0,0
"1990-10-07T23:39:00.000Z",0,0,0,0,0,0
"1990-10-07T23:59:00.000Z",32,136,218,28,0,0
"1990-10-07T23:59:00.000Z",160,9,26,215,0,0
"1990-10-07T23:59:00.000Z",67,102,238,3,0,0
"1990-10-08T23:59:00.000Z",156,2,206,1,0,0
"1990-10-10T19:55:00.000Z",70,103,205,49,0,0
"1990-10-10T20:07:00.000Z",172,0,249,0,0,0
"1990-10-10T20:15:00.000Z",46,125,202,47,0,0
"1990-10-11T11:34:00.000Z",44,117,211,39,0,0
"1990-10-11T12:11:00.000Z",165,4,247,1,0,0
"1990-10-11T13:47:00.000Z",169,0,206,45,0,0
"1990-10-11T17:13:00.000Z",52,120,12,241,0,0
"1990-10-11T18:15:00.000Z",114,58,61,191,0,0
"1990-10-11T19:18:00.000Z",142,31,240,11,0,0
"1990-10-11T19:59:00.000Z",114,59,235,17,0,0
"1990-10-11T21:23:00.000Z",41,130,121,118,0,0
"1990-10-11T21:31:00.000Z",89,81,166,73,0,0
"1990-10-12T11:18:00.000Z",0,0,0,0,0,0
"1990-10-12T11:32:00.000Z",11,158,86,161,0,0
"1990-10-12T13:45:00.000Z",58,112,143,103,0,0
"1990-10-12T14:09:00.000Z",132,39,190,58,0,0
"1990-10-12T15:37:00.000Z",14,152,231,8,0,0
"1990-10-15T16:36:00.000Z",0,0,0,0,0,0
"1990-10-15T16:48:00.000Z",99,61,5,220,0,0
