Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1991-06-25T03:13:00.000Z",5,37,20,36,0,0
"1991-06-26T11:40:00.000Z",42,0,16,40,0,0
"1991-06-26T03:29:00.000Z",34,8,31,25,0,0
"1991-06-26T11:25:00.000Z",16,27,55,1,0,0
"1991-06-26T11:44:00.000Z",36,7,24,32,0,0
"1991-06-27T10:51:00.000Z",37,6,51,5,0,0
"1991-06-28T12:39:00.000Z",35,8,9,46,0,0
"1991-06-28T02:46:00.000Z",3,40,38,18,0,0
"1991-06-28T04:18:00.000Z",19,24,48,8,0,0
"1991-07-08T07:01:00.000Z",0,37,49,2,0,0
"1991-07-09T10:46:00.000Z",40,1,15,38,0,0
"1991-07-09T05:01:00.000Z",41,1,2,54,0,0
"1991-07-09T09:57:00.000Z",37,5,17,38,0,0
"1991-07-10T02:14:00.000Z",7,36,49,7,0,0
"1991-07-10T03:14:00.000Z",33,10,29,27,0,0
"1991-07-10T04:09:00.000Z",40,3,56,0,0,0
"1991-07-10T08:29:00.000Z",21,21,50,6,0,0
"1991-07-11T03:41:00.000Z",42,0,56,0,0,0
"1991-07-11T09:35:00.000Z",26,16,45,10,0,0
"1991-07-15T07:00:00.000Z",41,0,37,16,0,0
"1991-07-15T07:25:00.000Z",19,22,53,0,0,0
"1991-07-16T03:42:00.000Z",27,16,8,48,0,0
"1991-07-16T05:34:00.000Z",12,31,2,54,0,0
"1991-07-16T07:16:00.000Z",9,34,45,11,0,0
"1991-07-16T07:38:00.000Z",38,5,14,42,0,0
"1991-07-17T06:46:00.000Z",3,40,32,24,0,0
